time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T22:09:11.280Z,60.2974,-141.1566,7.5,2.3,ml,,,,0.87,ak,ak20310206,2018-11-01T22:12:28.536Z,"75km ENE of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T21:50:23.650Z,33.4956667,-116.788,5.69,0.67,ml,23,80,0.0196,0.1,ci,ci38345288,2018-11-01T22:44:30.910Z,"9km NE of Aguanga, CA",earthquake,0.2,0.57,0.133,14,reviewed,ci,ci
2018-11-01T21:26:10.720Z,33.4893333,-116.7886667,3.86,0.78,ml,29,37,0.02496,0.12,ci,ci38345272,2018-11-01T22:42:27.840Z,"9km NE of Aguanga, CA",earthquake,0.15,0.29,0.085,20,reviewed,ci,ci
2018-11-01T21:16:05.290Z,33.0356667,-115.5743333,3.28,0.68,ml,8,170,0.00687,0.15,ci,ci38345248,2018-11-01T22:57:59.559Z,"4km E of Westmorland, CA",earthquake,0.78,0.32,0.027,2,reviewed,ci,ci
2018-11-01T21:10:46.500Z,36.7147,-116.2938,8.5,-0.1,ml,18,71.99,0.066,0.0948,nn,nn00663761,2018-11-01T22:04:27.595Z,"46km ESE of Beatty, Nevada",earthquake,,1.1,0.3,9,reviewed,nn,nn
2018-11-01T21:06:23.241Z,63.4784,-148.7667,9.9,1.3,ml,,,,0.34,ak,ak20310031,2018-11-01T21:12:44.856Z,"13km NE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T21:01:45.980Z,37.5395,-118.8415,3.09,0.72,md,13,278,0.05139,0.04,nc,nc73104896,2018-11-01T23:56:03.230Z,"14km W of Toms Place, CA",earthquake,0.92,0.89,0.168,12,reviewed,nc,nc
2018-11-01T20:59:04.620Z,61.9243,-149.9787,39.8,1.6,ml,,,,0.62,ak,ak20310018,2018-11-01T21:03:40.642Z,"19km N of Willow, Alaska",earthquake,,1.1,,,automatic,ak,ak
2018-11-01T20:50:33.970Z,33.4981667,-116.7955,3.89,1.07,ml,36,46,0.01473,0.12,ci,ci38345208,2018-11-01T21:04:48.690Z,"9km NE of Aguanga, CA",earthquake,0.14,0.32,0.134,20,reviewed,ci,ci
2018-11-01T20:34:33.170Z,35.2185,-118.118,1.84,1.58,ml,28,54,0.1061,0.19,ci,ci38345176,2018-11-01T20:59:46.086Z,"16km NW of California City, CA",earthquake,0.24,0.61,0.159,24,reviewed,ci,ci
2018-11-01T20:31:17.180Z,45.7128333,-112.1266667,5.89,0.61,ml,5,118,0.214,0.1,mb,mb80318279,2018-11-01T22:01:42.140Z,"17km S of Whitehall, Montana",earthquake,0.5,7.3,0.118,2,reviewed,mb,mb
2018-11-01T20:30:57.870Z,38.8248329,-122.8533325,1.15,0.55,md,8,119,0.01928,0.04,nc,nc73104886,2018-11-01T20:54:04.552Z,"10km WNW of The Geysers, CA",earthquake,0.43,0.76,,1,automatic,nc,nc
2018-11-01T20:30:52.340Z,-6.2504,150.753,10,4.9,mb,,61,2.481,1.08,us,us2000i5kv,2018-11-01T22:23:01.040Z,"102km SE of Kimbe, Papua New Guinea",earthquake,5.5,1.8,0.091,43,reviewed,us,us
2018-11-01T20:30:17.680Z,36.8898315,-121.6084976,1.9,1.66,md,15,75,0.0143,0.08,nc,nc73104881,2018-11-01T22:19:03.523Z,"3km E of Aromas, CA",earthquake,0.27,0.48,0.13,9,automatic,nc,nc
2018-11-01T20:23:24.806Z,39.2806,-115.0784,1.1,2,ml,5,194.42,0.308,0.4521,nn,nn00663753,2018-11-01T20:59:32.610Z,"16km WNW of Ely, Nevada",explosion,,18.4,0.46,3,reviewed,nn,nn
2018-11-01T20:16:18.090Z,34.2205,-117.5138333,7.68,0.6,ml,17,95,0.01722,0.11,ci,ci38345152,2018-11-01T20:50:44.437Z,"4km SSW of Lytle Creek, CA",earthquake,0.26,0.38,0.083,7,reviewed,ci,ci
2018-11-01T20:16:10.085Z,61.5129,-147.8185,29.3,0.9,ml,,,,0.67,ak,ak20309733,2018-11-01T20:20:40.645Z,"61km ESE of Lazy Mountain, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T19:55:13.470Z,32.5975,-115.68,10.41,1.37,ml,18,131,0.1669,0.19,ci,ci38345080,2018-11-01T20:31:58.355Z,"9km WNW of Progreso, B.C., MX",earthquake,0.41,0.82,0.206,11,reviewed,ci,ci
2018-11-01T19:44:34.447Z,60.5805,-150.2553,40.6,1.6,ml,,,,0.33,ak,ak20309688,2018-11-01T19:47:33.073Z,"28km E of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-01T19:42:57.825Z,40.4465,-117.2836,0,2.2,ml,8,241.11,0.05,0.0644,nn,nn00663766,2018-11-01T21:48:56.002Z,"36km SW of Battle Mountain, Nevada",explosion,,0,0.24,4,reviewed,nn,nn
2018-11-01T19:42:06.700Z,19.4274998,-155.2819977,0.28,2.1,ml,17,82,0.00498,0.11,hv,hv70679077,2018-11-01T19:47:47.090Z,"4km W of Volcano, Hawaii",earthquake,0.23,0.2,0.39,9,automatic,hv,hv
