time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T20:31:17.180Z,45.7128333,-112.1266667,5.89,0.61,ml,5,118,0.214,0.1,mb,mb80318279,2018-11-01T22:01:42.140Z,"17km S of Whitehall, Montana",earthquake,0.5,7.3,0.118,2,reviewed,mb,mb
2018-11-01T20:30:57.870Z,38.8248329,-122.8533325,1.15,0.55,md,8,119,0.01928,0.04,nc,nc73104886,2018-11-01T20:54:04.552Z,"10km WNW of The Geysers, CA",earthquake,0.43,0.76,,1,automatic,nc,nc
2018-11-01T20:30:52.340Z,-6.2504,150.753,10,4.9,mb,,61,2.481,1.08,us,us2000i5kv,2018-11-01T22:23:01.040Z,"102km SE of Kimbe, Papua New Guinea",earthquake,5.5,1.8,0.091,43,reviewed,us,us
2018-11-01T20:30:17.680Z,36.8898315,-121.6084976,1.9,1.66,md,15,75,0.0143,0.08,nc,nc73104881,2018-11-01T22:19:03.523Z,"3km E of Aromas, CA",earthquake,0.27,0.48,0.13,9,automatic,nc,nc
2018-11-01T20:23:24.806Z,39.2806,-115.0784,1.1,2,ml,5,194.42,0.308,0.4521,nn,nn00663753,2018-11-01T20:59:32.610Z,"16km WNW of Ely, Nevada",explosion,,18.4,0.46,3,reviewed,nn,nn
2018-11-01T20:16:18.090Z,34.2205,-117.5138333,7.68,0.6,ml,17,95,0.01722,0.11,ci,ci38345152,2018-11-01T20:50:44.437Z,"4km SSW of Lytle Creek, CA",earthquake,0.26,0.38,0.083,7,reviewed,ci,ci
2018-11-01T20:16:10.085Z,61.5129,-147.8185,29.3,0.9,ml,,,,0.67,ak,ak20309733,2018-11-01T20:20:40.645Z,"61km ESE of Lazy Mountain, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T19:55:13.470Z,32.5975,-115.68,10.41,1.37,ml,18,131,0.1669,0.19,ci,ci38345080,2018-11-01T20:31:58.355Z,"9km WNW of Progreso, B.C., MX",earthquake,0.41,0.82,0.206,11,reviewed,ci,ci
2018-11-01T19:44:34.447Z,60.5805,-150.2553,40.6,1.6,ml,,,,0.33,ak,ak20309688,2018-11-01T19:47:33.073Z,"28km E of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-01T19:42:57.825Z,40.4465,-117.2836,0,2.2,ml,8,241.11,0.05,0.0644,nn,nn00663766,2018-11-01T21:48:56.002Z,"36km SW of Battle Mountain, Nevada",explosion,,0,0.24,4,reviewed,nn,nn
2018-11-01T19:42:06.700Z,19.4274998,-155.2819977,0.28,2.1,ml,17,82,0.00498,0.11,hv,hv70679077,2018-11-01T19:47:47.090Z,"4km W of Volcano, Hawaii",earthquake,0.23,0.2,0.39,9,automatic,hv,hv
2018-11-01T19:30:20.550Z,-58.0607,-25.1948,25.88,5.8,mww,,78,7.35,0.9,us,us2000i5jk,2018-11-01T23:51:47.078Z,"132km NE of Bristol Island, South Sandwich Islands",earthquake,11.2,4.6,0.071,19,reviewed,us,us
2018-11-01T19:25:05.270Z,35.2277,-97.7464,5,1.8,ml,,91,0.134,0.37,us,us2000i5n4,2018-11-01T23:07:09.085Z,"9km SE of Tuttle, Oklahoma",earthquake,1,1.7,0.074,24,reviewed,us,us
2018-11-01T19:17:35.240Z,37.8976,135.24,346.94,4,mb,,31,2.388,0.94,us,us2000i5ja,2018-11-01T22:39:43.040Z,"177km NW of Hakui, Japan",earthquake,9.4,9,0.064,65,reviewed,us,us
2018-11-01T19:09:35.190Z,61.8757,-150.2792,42,1.4,ml,,,,0.67,ak,ak20309520,2018-11-01T19:18:17.017Z,"19km NW of Willow, Alaska",earthquake,,1,,,automatic,ak,ak
2018-11-01T19:05:36.548Z,37.0986,-116.1627,6.2,-0.1,ml,16,170.86,0.05,0.1537,nn,nn00663765,2018-11-01T21:39:41.651Z,"57km ENE of Beatty, Nevada",earthquake,,1.5,0.52,5,reviewed,nn,nn
2018-11-01T19:04:34.360Z,34.9886667,-118.1908333,-0.8,1.55,ml,10,100,0.1139,0.13,ci,ci38345024,2018-11-01T19:28:44.027Z,"7km SSW of Mojave, CA",quarry blast,0.39,31.61,0.112,8,reviewed,ci,ci
2018-11-01T19:02:01.560Z,19.4096661,-155.2753296,1.3,1.9,md,20,45,0.01148,0.23,hv,hv70679032,2018-11-01T19:07:44.020Z,"4km WSW of Volcano, Hawaii",earthquake,0.3,0.39,0.12,12,automatic,hv,hv
2018-11-01T18:45:41.005Z,65.6001,-151.5182,4.9,1.7,ml,,,,1.08,ak,ak20309511,2018-11-01T18:57:22.625Z,"54km NNE of Tanana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-01T18:44:41.413Z,65.5754,-151.7484,6.1,1.4,ml,,,,0.88,ak,ak20309510,2018-11-01T18:53:41.379Z,"47km NNE of Tanana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T18:42:04.650Z,36.6930008,-121.3246689,3.24,2.28,md,35,105,0.08237,0.05,nc,nc73104866,2018-11-01T21:09:03.630Z,"11km S of Tres Pinos, CA",earthquake,0.28,1.3,0.17,30,automatic,nc,nc
2018-11-01T18:34:42.702Z,63.5872,-148.6621,0,1.7,ml,,,,0.69,ak,ak20309500,2018-11-01T18:39:07.934Z,"26km NNE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T18:31:01.904Z,37.5105,-114.082,4.8,0.9,ml,9,93.59,0.185,0.2329,nn,nn00663764,2018-11-01T21:30:27.836Z,"32km WSW of Enterprise, Utah",earthquake,,3.5,0.39,6,reviewed,nn,nn
2018-11-01T18:12:46.660Z,23.5911,-45.2532,10,4.8,mb,,95,17.447,1,us,us2000i5it,2018-11-01T19:04:54.040Z,"Northern Mid-Atlantic Ridge",earthquake,12,1.9,0.058,93,reviewed,us,us
2018-11-01T18:12:30.430Z,33.7125,-116.7591667,15.9,0.86,ml,26,72,0.03753,0.1,ci,ci38344512,2018-11-01T18:39:49.516Z,"5km SW of Idyllwild, CA",earthquake,0.21,0.31,0.129,10,reviewed,ci,ci
2018-11-01T18:11:20.600Z,34.2533333,-118.42,8.87,1.57,ml,28,61,0.05677,0.18,ci,ci38344504,2018-11-01T19:21:20.987Z,"4km SSE of San Fernando, CA",earthquake,0.26,0.52,0.118,21,reviewed,ci,ci
2018-11-01T18:09:13.760Z,46.8983333,-112.5665,12.54,1.48,ml,12,113,0.084,0.14,mb,mb80318254,2018-11-01T19:38:28.890Z,"10km SE of Lincoln, Montana",earthquake,0.54,0.7,0.087,3,reviewed,mb,mb
2018-11-01T18:08:19.905Z,60.185,-152.5856,116,2.1,ml,,,,0.59,ak,ak20309334,2018-11-01T18:13:12.770Z,"34km SSE of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T17:55:49.559Z,63.1738,-149.1035,69.6,3.1,ml,,,,0.52,ak,ak20309318,2018-11-01T18:10:01.964Z,"25km SSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-11-01T17:38:56.730Z,33.4888333,-116.7918333,4.61,0.76,ml,30,32,0.02453,0.14,ci,ci38344472,2018-11-01T18:32:30.677Z,"8km NE of Aguanga, CA",earthquake,0.16,0.27,0.104,19,reviewed,ci,ci
2018-11-01T17:25:11.805Z,62.9793,-150.9098,100.5,1.2,ml,,,,0.33,ak,ak20309312,2018-11-01T17:32:12.941Z,"83km NNW of Talkeetna, Alaska",earthquake,,2.1,,,automatic,ak,ak
2018-11-01T17:08:26.007Z,69.6073,-144.5622,7.6,3.1,ml,,,,0.85,ak,ak20309148,2018-11-01T21:57:00.040Z,"67km SSW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2018-11-01T16:58:54.850Z,34.0315,-116.5905,11.82,0.97,ml,29,114,0.04822,0.14,ci,ci37410738,2018-11-01T17:16:53.977Z,"2km SSW of Morongo Valley, CA",earthquake,0.23,0.52,0.107,18,reviewed,ci,ci
2018-11-01T16:58:47.470Z,33.492,-116.7906667,6.96,0.15,ml,8,117,0.08571,0.09,ci,ci37412197,2018-11-01T17:21:52.011Z,"9km NE of Aguanga, CA",earthquake,0.33,0.87,0.041,3,reviewed,ci,ci
